id,type,description,units,common_name,utc_min_date_time,utc_max_date_time,resolution,aggregation
115,a,1-RH[0]/100,"",,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
36,aalj,AALJ[1],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
39,acaj,ACAJ[1],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
47,acak,0.0320*ASEACAT[1]+0.0838*ASOIL[1]+0.0562*ACORS[1],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
48,aclij,ACLI[1]+ACLJ[1],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
49,aecij,AECI[1]+AECJ[1],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
35,afej,AFEJ[1],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
78,ahplusij,(AH3OPI[1]+AH3OPJ[1])*1.0/19.0,ug/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
103,air_dens,DENS[3],kg/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
41,akj,AKJ[1],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
46,akk,0.0310*ASEACAT[1]+0.0242*ASOIL[1]+0.0176*ACORS[1],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
1,ald2,1000.0*ALD2[1],ppbV,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
2,aldx,1000.0*ALDX[1],ppbV,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
40,amgj,AMGJ[1],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
45,amgk,0.0997*ASEACAT[1]                +0.0032*ACORS[1],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
42,amnj,AMNJ[1],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
50,anaij,ANAJ[1]+ANAI[1],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
44,anak,0.8373*ASEACAT[1]+0.0626*ASOIL[1]+0.0023*ACORS[1],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
70,ancomij,AOMIJ[0]-AOCIJ[0],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
53,anh4ij,ANH4I[1]+ANH4J[1],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
122,anh4ij_loss,ANO3IJ_loss[0]*(18/62),ug/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
54,anh4k,ANH4K[1],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
51,ano3ij,ANO3I[1]+ANO3J[1],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
120,ano3ij_loss,max_NO3_loss[0]<=ANO3IJ[0] ? max_NO3_loss[0] : ANO3IJ[0],ug/m3,,2011-01-01 01:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
52,ano3k,ANO3K[1],ug/m3,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
20,ano3_ppb,(ANO3I[1]+ANO3J[1]+ANO3K[1])/(DENS[2]*(62.0/28.97)),ppbV,,2010-01-01 00:00:00,2012-01-01 01:00:00,hour;day;7day;14day,max;avg
