"Date","CMAQ_2010_36k_base_Obs_Average","CMAQ_2010_36k_base_Model_Average","CMAQ_2010_36k_base_Bias_Average","CMAQ_2010_36k_base_RMSE_Average","CMAQ_2010_36k_base_Corr_Average"
2010-01-01 00:00:00,15.7729,27.5666,11.7936,18.6757,0.313
2010-01-01 01:00:00,15.7951,27.8484,12.0533,19.1044,0.301
2010-01-01 02:00:00,16.2964,27.7711,11.4747,12.3933,0.533
2010-01-01 03:00:00,16.3724,27.4931,11.1207,11.6253,0.582
2010-01-01 04:00:00,17.4631,26.6738,9.21065,11.0768,0.603
2010-01-01 05:00:00,16.6535,26.2724,9.61885,10.5443,0.624
2010-01-01 06:00:00,16.6209,25.2499,8.62901,10.1293,0.644
2010-01-01 07:00:00,16.3328,24.1902,7.85738,10.1519,0.639
2010-01-01 08:00:00,18.4263,25.5041,7.07784,10.9571,0.588
2010-01-01 09:00:00,21.5774,28.0354,6.45809,12.9842,0.467
2010-01-01 10:00:00,24.4482,30.7598,6.31165,13.9422,0.443
2010-01-01 11:00:00,26.8994,33.1846,6.28519,14.2144,0.448
2010-01-01 12:00:00,28.8198,34.9705,6.15074,18.7415,0.301
2010-01-01 13:00:00,30.3296,36.0215,5.6919,14.8193,0.413
2010-01-01 14:00:00,31.1975,36.2869,5.08942,15.3221,0.384
2010-01-01 15:00:00,30.9728,35.2873,4.3145,15.4035,0.357
2010-01-01 16:00:00,28.7684,31.5598,2.79139,15.3227,0.338
2010-01-01 17:00:00,24.0559,27.1489,3.09296,18.2694,0.321
2010-01-01 18:00:00,20.7268,24.9392,4.21234,16.8759,0.386
2010-01-01 19:00:00,19.4496,24.1052,4.6556,17.4742,0.341
2010-01-01 20:00:00,18.8995,24.1093,5.20982,16.9325,0.356
2010-01-01 21:00:00,18.9423,24.537,5.59467,16.5178,0.362
2010-01-01 22:00:00,19.1814,24.9854,5.80403,15.1081,0.406
2010-01-01 23:00:00,19.6602,25.5681,5.90787,13.492,0.466
2010-01-02 00:00:00,19.7407,26.1366,6.39582,15.59,0.312
2010-01-02 01:00:00,19.3388,26.3656,7.02679,16.2456,0.268
2010-01-02 02:00:00,19.4926,26.3295,6.8369,12.9249,0.169
2010-01-02 03:00:00,20.1,26.2132,6.11323,12.3729,0.214
2010-01-02 04:00:00,20.5101,25.7162,5.20613,11.6364,0.281
2010-01-02 05:00:00,19.3716,25.6801,6.3085,10.8496,0.35
2010-01-02 06:00:00,18.8889,25.1214,6.23248,10.616,0.368
2010-01-02 07:00:00,18.7159,24.7461,6.03024,10.8825,0.373
2010-01-02 08:00:00,20.3784,26.7268,6.34839,11.6268,0.386
2010-01-02 09:00:00,23.7088,29.89,6.1812,13.2322,0.371
2010-01-02 10:00:00,27.1168,33.3004,6.18358,13.9516,0.358
2010-01-02 11:00:00,29.8096,35.9236,6.11401,14.2449,0.346
2010-01-02 12:00:00,32.0734,37.9255,5.8521,16.3226,0.248
2010-01-02 13:00:00,33.9314,39.4529,5.52145,14.7336,0.329
2010-01-02 14:00:00,34.8692,40.2007,5.33145,15.5202,0.289
2010-01-02 15:00:00,34.3876,39.5539,5.16629,16.3546,0.277
2010-01-02 16:00:00,31.74,35.9678,4.22772,16.2842,0.239
2010-01-02 17:00:00,26.9297,31.3567,4.42704,16.0418,0.231
2010-01-02 18:00:00,23.9201,28.8491,4.929,15.6389,0.246
2010-01-02 19:00:00,22.9089,28.0622,5.15326,16.2325,0.229
2010-01-02 20:00:00,22.1387,27.8235,5.68484,16.0958,0.247
2010-01-02 21:00:00,21.7435,28.3343,6.59083,15.6857,0.286
2010-01-02 22:00:00,21.2803,29.7441,8.46381,14.9654,0.247
2010-01-02 23:00:00,21.4578,29.1418,7.68401,13.6108,0.182
2010-01-03 00:00:00,21.3415,29.6356,8.29416,16.8296,0.209
2010-01-03 01:00:00,21.2683,29.827,8.55864,16.978,0.177
2010-01-03 02:00:00,21.6811,30.2341,8.55295,13.2419,0.344
2010-01-03 03:00:00,21.7447,30.504,8.75923,12.2502,0.448
2010-01-03 04:00:00,22.203,29.7134,7.51049,11.9199,0.501
2010-01-03 05:00:00,20.4374,30.1545,9.71705,11.9141,0.52
2010-01-03 06:00:00,19.9838,29.765,9.78127,12.0976,0.514
2010-01-03 07:00:00,19.8091,29.2626,9.45353,12.4116,0.482
2010-01-03 08:00:00,20.9676,30.3466,9.37898,12.8017,0.447
2010-01-03 09:00:00,23.6414,32.2484,8.607,14.705,0.347
2010-01-03 10:00:00,26.3768,34.7579,8.38105,15.2225,0.356
2010-01-03 11:00:00,28.9051,37.0379,8.13271,15.7562,0.348
2010-01-03 12:00:00,30.7468,38.8495,8.10266,17.0579,0.151
2010-01-03 13:00:00,31.9904,40.0858,8.09536,16.6163,0.339
2010-01-03 14:00:00,32.48,40.5527,8.07268,17.2509,0.322
2010-01-03 15:00:00,31.7308,39.6339,7.90312,17.9016,0.265
2010-01-03 16:00:00,28.9247,35.6175,6.69281,18.2266,0.212
2010-01-03 17:00:00,24.6581,30.6085,5.95042,17.137,0.0931
2010-01-03 18:00:00,22.1124,28.2523,6.13993,16.2256,0.188
2010-01-03 19:00:00,21.0658,27.9669,6.90105,17.9323,0.125
2010-01-03 20:00:00,20.4075,28.7008,8.2933,17.9555,0.145
2010-01-03 21:00:00,20.4468,29.6844,9.23762,17.5772,0.177
2010-01-03 22:00:00,20.5137,30.4076,9.89389,16.544,0.198
2010-01-03 23:00:00,20.8847,30.8116,9.92682,14.492,0.268
2010-01-04 00:00:00,21.0372,31.0273,9.9901,18.5367,0.143
2010-01-04 01:00:00,20.769,31.394,10.625,18.696,0.145
2010-01-04 02:00:00,20.8581,30.7672,9.90913,15.6734,0.139
2010-01-04 03:00:00,20.7649,30.9032,10.1383,14.767,0.212
2010-01-04 04:00:00,21.4682,29.5817,8.11351,14.3974,0.298
2010-01-04 05:00:00,19.0802,29.4118,10.3316,14.3559,0.348
2010-01-04 06:00:00,17.8793,28.1765,10.2973,14.2501,0.38
2010-01-04 07:00:00,16.7691,27.1068,10.3376,14.3816,0.389
2010-01-04 08:00:00,18.5561,28.8518,10.2958,13.7263,0.484
2010-01-04 09:00:00,21.5483,31.553,10.0047,14.3275,0.491
2010-01-04 10:00:00,24.9699,34.6694,9.69947,15.0138,0.445
2010-01-04 11:00:00,27.7462,37.0759,9.32965,15.9855,0.402
2010-01-04 12:00:00,29.4828,39.0273,9.54453,18.4689,0.124
2010-01-04 13:00:00,30.6547,40.4091,9.75438,16.9386,0.338
2010-01-04 14:00:00,31.0548,40.7785,9.72376,17.5783,0.316
2010-01-04 15:00:00,30.2765,39.677,9.4005,18.1229,0.287
2010-01-04 16:00:00,27.2224,35.0162,7.79384,18.7374,0.246
2010-01-04 17:00:00,22.712,29.4886,6.77665,18.6204,0.0577
2010-01-04 18:00:00,20.3898,27.0194,6.62962,16.8241,0.163
2010-01-04 19:00:00,19.3073,26.8948,7.5875,18.7611,0.108
2010-01-04 20:00:00,19.0387,27.4216,8.3829,18.527,0.144
2010-01-04 21:00:00,19.1222,28.3342,9.21202,18.3298,0.169
2010-01-04 22:00:00,19.3456,29.0405,9.69493,17.813,0.128
2010-01-04 23:00:00,19.4177,29.4937,10.076,16.613,0.132
2010-01-05 00:00:00,19.2904,29.7907,10.5004,19.1467,0.211
2010-01-05 01:00:00,18.9674,29.8362,10.8689,19.526,0.177
2010-01-05 02:00:00,19.0701,29.9983,10.9281,16.54,0.23
2010-01-05 03:00:00,19.3158,30.1056,10.7898,15.4459,0.328
2010-01-05 04:00:00,19.2423,28.6154,9.37308,14.9324,0.403
2010-01-05 05:00:00,17.2215,28.2701,11.0486,14.5162,0.455
2010-01-05 06:00:00,16.0144,26.4862,10.4718,14.4393,0.488
2010-01-05 07:00:00,15.1846,25.2065,10.0219,14.6274,0.491
2010-01-05 08:00:00,17.0146,27.6159,10.6012,14.7382,0.484
2010-01-05 09:00:00,20.5361,31.0291,10.493,15.3551,0.459
2010-01-05 10:00:00,23.8902,34.1431,10.2529,14.9727,0.493
2010-01-05 11:00:00,26.495,36.333,9.83797,14.9752,0.494
2010-01-05 12:00:00,28.3943,38.2355,9.84115,19.2262,0.184
2010-01-05 13:00:00,29.8666,39.486,9.61943,15.4528,0.468
2010-01-05 14:00:00,30.2098,39.7336,9.52386,15.9908,0.442
2010-01-05 15:00:00,29.3802,38.6043,9.22416,16.7448,0.408
2010-01-05 16:00:00,26.254,33.7972,7.54324,17.2507,0.383
2010-01-05 17:00:00,21.4937,27.3321,5.83847,18.8967,0.174
2010-01-05 18:00:00,18.7797,24.2494,5.46971,17.6062,0.289
2010-01-05 19:00:00,17.6746,23.4782,5.80362,19.1078,0.235
2010-01-05 20:00:00,16.9438,23.6217,6.67788,18.5631,0.311
2010-01-05 21:00:00,17.1611,24.4671,7.30597,18.1981,0.329
2010-01-05 22:00:00,16.9299,25.3325,8.40252,17.6555,0.279
2010-01-05 23:00:00,17.0723,25.9836,8.91126,17.0445,0.215
2010-01-06 00:00:00,16.9407,26.7262,9.78551,18.0067,0.345
2010-01-06 01:00:00,16.9265,26.7708,9.84434,18.1831,0.318
2010-01-06 02:00:00,17.0576,27.1995,10.1419,16.0891,0.347
2010-01-06 03:00:00,17.5369,27.6775,10.1406,15.0574,0.391
2010-01-06 04:00:00,18.0657,26.5992,8.53354,14.3764,0.44
2010-01-06 05:00:00,16.0769,26.8186,10.7417,14.0615,0.468
2010-01-06 06:00:00,15.0176,25.2058,10.1882,14.2885,0.468
2010-01-06 07:00:00,13.8892,23.8617,9.97245,14.599,0.489
2010-01-06 08:00:00,15.643,26.2231,10.5801,14.4717,0.524
2010-01-06 09:00:00,18.8593,29.6601,10.8008,14.9876,0.493
2010-01-06 10:00:00,22.5641,33.0831,10.519,14.2989,0.513
2010-01-06 11:00:00,25.4415,35.0631,9.62163,14.2487,0.501
2010-01-06 12:00:00,27.4975,36.6266,9.12904,18.3063,0.312
2010-01-06 13:00:00,28.9064,37.6107,8.70428,15.0947,0.455
2010-01-06 14:00:00,29.1287,37.6993,8.57064,15.5062,0.433
2010-01-06 15:00:00,28.0097,36.3809,8.37127,15.9193,0.412
2010-01-06 16:00:00,25.1309,32.0737,6.94282,16.4498,0.39
2010-01-06 17:00:00,21.2885,26.787,5.49856,17.9805,0.33
2010-01-06 18:00:00,19.2304,24.5973,5.36691,16.0796,0.433
2010-01-06 19:00:00,18.2364,24.2094,5.97302,18.13,0.336
2010-01-06 20:00:00,17.4428,24.4939,7.05109,17.4185,0.364
2010-01-06 21:00:00,17.1952,24.9894,7.79419,17.1913,0.352
2010-01-06 22:00:00,16.9904,25.4007,8.41028,16.7707,0.343
2010-01-06 23:00:00,16.6882,26.0084,9.32023,16.5412,0.345
2010-01-07 00:00:00,16.4378,26.7844,10.3466,17.014,0.353
2010-01-07 01:00:00,16.3643,28.0218,11.6575,17.5353,0.344
2010-01-07 02:00:00,17.0247,28.6231,11.5984,15.959,0.31
2010-01-07 03:00:00,17.3791,29.3582,11.9791,15.8842,0.344
2010-01-07 04:00:00,17.8629,29.489,11.6261,15.7072,0.381
2010-01-07 05:00:00,15.9047,28.6408,12.7361,15.4053,0.418
2010-01-07 06:00:00,14.8433,27.2841,12.4408,14.9939,0.458
2010-01-07 07:00:00,14.391,25.5811,11.1901,15.0426,0.461
2010-01-07 08:00:00,15.9268,27.2299,11.3031,14.8457,0.489
2010-01-07 09:00:00,19.2516,30.2661,11.0145,15.0482,0.492
2010-01-07 10:00:00,22.051,32.8835,10.8325,15.673,0.449
2010-01-07 11:00:00,24.1768,34.9839,10.8071,15.9877,0.427
2010-01-07 12:00:00,26.0148,36.8367,10.822,17.7077,0.288
2010-01-07 13:00:00,27.5263,38.2314,10.7051,16.6488,0.398
2010-01-07 14:00:00,28.2976,38.5143,10.2168,16.9739,0.39
2010-01-07 15:00:00,27.8051,37.4169,9.61181,17.516,0.349
2010-01-07 16:00:00,25.3748,33.4784,8.10356,18.121,0.304
2010-01-07 17:00:00,21.7333,29.1273,7.39398,18.0121,0.241
2010-01-07 18:00:00,19.7,27.6007,7.90066,17.3061,0.282
2010-01-07 19:00:00,19.309,27.6743,8.36523,18.4282,0.291
2010-01-07 20:00:00,18.7127,28.1577,9.44503,18.2167,0.318
2010-01-07 21:00:00,18.5981,28.8428,10.2448,17.4064,0.352
2010-01-07 22:00:00,18.7882,29.6194,10.8312,17.0428,0.311
2010-01-07 23:00:00,18.9453,30.3734,11.428,16.3927,0.281
2010-01-08 00:00:00,19.1672,31.1563,11.9891,18.7848,0.239
2010-01-08 01:00:00,19.3465,31.393,12.0466,19.032,0.202
2010-01-08 02:00:00,19.8344,31.7713,11.9369,15.4326,0.311
2010-01-08 03:00:00,20.6684,32.221,11.5527,14.9542,0.334
2010-01-08 04:00:00,21.7721,31.5684,9.79631,14.614,0.375
2010-01-08 05:00:00,19.386,31.2908,11.9048,14.8572,0.394
2010-01-08 06:00:00,18.5819,30.2224,11.6406,15.018,0.375
2010-01-08 07:00:00,17.9046,29.1991,11.2945,15.0411,0.397
2010-01-08 08:00:00,19.2909,30.4299,11.139,14.8232,0.435
