"Date","CMAQ_2011_12k_Obs_mean","CMAQ_2011_12k_Mod_mean","CMAQ_2011_12k_MB","CMAQ_2011_12k_RMSE","CMAQ_2011_12k_COR"
2011-01-01 00:00:00,23.1728,20.8053,-2.36756,10.1258,0.626
2011-01-01 01:00:00,23.0047,21.3921,-1.61258,10.0388,0.608
2011-01-01 02:00:00,23.1641,21.6245,-1.53965,8.98321,0.536
2011-01-01 03:00:00,23.9528,22.3455,-1.60725,8.6494,0.523
2011-01-01 04:00:00,23.9019,22.5498,-1.35209,8.04193,0.545
2011-01-01 05:00:00,23.069,22.361,-0.70803,7.62782,0.577
2011-01-01 06:00:00,22.879,22.106,-0.773053,7.54499,0.609
2011-01-01 07:00:00,22.8502,21.6589,-1.19127,7.631,0.637
2011-01-01 08:00:00,24.5789,21.3584,-3.2205,8.15953,0.616
2011-01-01 09:00:00,27.4547,22.9456,-4.50904,9.54041,0.519
2011-01-01 10:00:00,30.2706,25.3009,-4.96971,11.0113,0.45
2011-01-01 11:00:00,32.2156,27.4898,-4.72579,11.0069,0.509
2011-01-01 12:00:00,33.5306,29.4604,-4.07019,10.0058,0.595
2011-01-01 13:00:00,34.4067,30.8857,-3.52104,10.9193,0.539
2011-01-01 14:00:00,34.6288,31.657,-2.97188,11.0179,0.538
2011-01-01 15:00:00,34.0795,31.6515,-2.42806,11.0181,0.568
2011-01-01 16:00:00,32.6998,30.8094,-1.89042,10.8799,0.543
2011-01-01 17:00:00,29.7768,28.7456,-1.03112,9.71976,0.604
2011-01-01 18:00:00,26.4159,25.3366,-1.07927,10.1923,0.565
2011-01-01 19:00:00,24.6876,22.231,-2.45657,10.283,0.546
2011-01-01 20:00:00,23.7678,20.7841,-2.98373,10.2403,0.552
2011-01-01 21:00:00,23.4643,20.4522,-3.01209,10.1837,0.549
2011-01-01 22:00:00,23.4399,20.5051,-2.93475,9.91055,0.549
2011-01-01 23:00:00,22.913,20.8921,-2.02096,9.3617,0.564
2011-01-02 00:00:00,22.7994,21.0759,-1.72346,10.9823,0.52
2011-01-02 01:00:00,22.5692,21.0983,-1.47087,11.1041,0.499
2011-01-02 02:00:00,22.6906,21.4424,-1.2482,9.82877,0.552
2011-01-02 03:00:00,23.283,21.2761,-2.0069,9.03131,0.589
2011-01-02 04:00:00,22.8047,21.1425,-1.66211,8.30956,0.625
2011-01-02 05:00:00,22.3806,21.2295,-1.15105,7.97999,0.633
2011-01-02 06:00:00,21.8631,20.7725,-1.0906,7.98907,0.612
2011-01-02 07:00:00,21.5607,20.0325,-1.52821,8.02728,0.619
2011-01-02 08:00:00,23.3206,19.4006,-3.91992,8.66193,0.593
2011-01-02 09:00:00,26.5084,21.0079,-5.50054,10.0346,0.51
2011-01-02 10:00:00,29.1829,23.7911,-5.39183,11.3568,0.441
2011-01-02 11:00:00,31.128,26.4708,-4.65721,11.6005,0.473
2011-01-02 12:00:00,32.545,28.642,-3.90302,11.1219,0.466
2011-01-02 13:00:00,33.8537,30.1666,-3.68706,11.4749,0.483
2011-01-02 14:00:00,34.1601,31.0496,-3.11043,11.363,0.502
